venue,mean,min_below,max_above
the town hall,100.80400073407965,-100.80400073407965,363.19599926592036
music hall of williamsburg,14.203318077803203,-14.203318077803203,59.7966819221968
lincoln center for the performing arts,90.48798815894341,-90.48798815894341,421.5120118410566
barclays center,11.212707811432475,-11.212707811432475,114.78729218856752
playstation theater,143.66211137683635,-143.66211137683635,477.3378886231636
bowery ballroom,45.91162737729188,-45.91162737729188,204.0883726227081
terminal 5,26.701436388508892,-26.701436388508892,196.29856361149112
madison square garden,211.06865535693953,-211.06865535693953,371.93134464306047
carnegie hall,147.1751025991792,-147.1751025991792,266.82489740082076
moma ps1,4.83611810482948,-4.83611810482948,54.16388189517052
javits center roadway,24.20960748516659,-24.20960748516659,324.7903925148334
radio city music hall,120.64764176913195,-120.64764176913195,356.35235823086805
beacon theatre,83.33845628415301,-83.33845628415301,229.661543715847
